INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
287921892,06/04/2024,00:14:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,997843,175671,,,
287125472,05/19/2024,05:40:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1008245,183796,,,
283831607,03/15/2024,18:05:00,BROOKLYN,OUTSIDE,81,0,STREET,(null),N,25-44,M,BLACK,18-24,M,BLACK,1004227,186741,40.679217,-73.927974,POINT (-73.927974 40.679217)
285804767,04/23/2024,05:39:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1003562,180263,40.661437,-73.930391,POINT (-73.930391 40.661437)
286098202,04/29/2024,01:05:00,QUEENS,OUTSIDE,106,0,STREET,(null),Y,(null),(null),(null),25-44,M,BLACK,1033855,185778,40.676457,-73.821164,POINT (-73.821164 40.676457)
284454187,03/28/2024,02:03:00,BROOKLYN,OUTSIDE,63,0,STREET,(null),N,25-44,M,BLACK,25-44,M,WHITE HISPANIC,998933,168067,40.62797,-73.947101,POINT (-73.947101 40.62797)
285380962,04/15/2024,04:03:00,BRONX,OUTSIDE,40,0,VEHICLE,(null),N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1006074,236931,40.816972,-73.921152,POINT (-73.921152 40.816972)
288156949,06/07/2024,13:50:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,25-44,M,BLACK,45-64,M,WHITE HISPANIC,1016029,184649,40.67344,-73.885434,POINT (-73.885434 40.67344)
280954433,01/23/2024,01:43:00,QUEENS,OUTSIDE,105,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1056737,199551,40.714104,-73.738523,POINT (-73.738523 40.714104)
281248218,01/27/2024,12:55:00,BRONX,INSIDE,47,0,COMMERCIAL,HOTEL/MOTEL,N,25-44,M,WHITE HISPANIC,18-24,M,BLACK,1032043,261242,40.883595,-73.827157,POINT (-73.827157 40.883595)
287913164,06/03/2024,01:40:00,QUEENS,OUTSIDE,115,0,STREET,(null),N,18-24,M,BLACK HISPANIC,UNKNOWN,M,UNKNOWN,1017100,218938,40.767551,-73.881405,POINT (-73.881405 40.767551)
284584434,03/30/2024,20:50:00,BRONX,OUTSIDE,46,0,STREET,(null),N,18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,1013076,252524,40.85974771441924,-73.89579068278967,POINT (-73.89579068278967 40.85974771441924)
283518253,03/10/2024,23:51:00,BROOKLYN,INSIDE,73,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,1006025,185468,40.675719,-73.921496,POINT (-73.921496 40.675719)
281438760,01/31/2024,13:04:00,MANHATTAN,OUTSIDE,23,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1001808,228700,40.79439,-73.936586,POINT (-73.936586 40.79439)
287671763,05/29/2024,23:13:00,BRONX,OUTSIDE,52,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1017478,256069,,,
288867605,06/20/2024,22:00:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),Y,(null),(null),(null),45-64,M,ASIAN / PACIFIC ISLANDER,993961,184556,40.673237,-73.964989,POINT (-73.964989 40.673237)
285676186,04/20/2024,02:00:00,BROOKLYN,INSIDE,67,0,(null),(null),Y,25-44,M,BLACK,25-44,M,BLACK,1004094,178564,40.656772,-73.928479,POINT (-73.928479 40.656772)
288365030,06/11/2024,19:58:00,MANHATTAN,OUTSIDE,14,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,987564,212166,40.749022559929315,-73.98803942302837,POINT (-73.98803942302837 40.749022559929315)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK,<18,F,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244)
288678989,06/18/2024,00:44:00,BRONX,OUTSIDE,52,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK HISPANIC,1014563,253789,40.863216,-73.890408,POINT (-73.890408 40.863216)
287845255,06/01/2024,17:50:00,BRONX,OUTSIDE,42,0,STREET,MULTI DWELL - APT BUILD,N,(null),(null),(null),25-44,M,BLACK,1014645,243583,40.835202,-73.890156,POINT (-73.890156 40.835202)
283885167,03/16/2024,21:40:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1011486,252148,40.858721,-73.901537,POINT (-73.901537 40.858721)
282033298,02/10/2024,05:10:00,BRONX,INSIDE,52,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK HISPANIC,<18,M,BLACK,1015796,257648,40.873803,-73.885931,POINT (-73.885931 40.873803)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK HISPANIC,25-44,F,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244)
284940559,04/07/2024,14:00:00,MANHATTAN,OUTSIDE,28,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,996216,231648,40.80248804760781,-73.95677874910633,POINT (-73.95677874910633 40.80248804760781)
282705914,02/23/2024,19:00:00,BRONX,OUTSIDE,49,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK HISPANIC,1021688,248215,40.847891,-73.864681,POINT (-73.864681 40.847891)
287444844,05/25/2024,02:32:00,MANHATTAN,OUTSIDE,25,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,WHITE HISPANIC,1001768,234797,40.811123,-73.936714,POINT (-73.936714 40.811123)
285517125,04/17/2024,13:30:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),Y,25-44,M,BLACK,45-64,M,BLACK,1008769,177614,40.654153,-73.911632,POINT (-73.911632 40.654153)
280943246,01/22/2024,22:21:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1006796,241740,40.83017,-73.918527,POINT (-73.918527 40.83017)
288118374,06/06/2024,18:00:00,BROOKLYN,OUTSIDE,81,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,25-44,M,BLACK,1003167,190352,40.689129,-73.931787,POINT (-73.931787 40.689129)
286397104,05/04/2024,01:25:00,QUEENS,OUTSIDE,102,0,COMMERCIAL,BAR/NIGHT CLUB,Y,(null),(null),(null),18-24,M,BLACK,1029424,191245,40.691487,-73.837101,POINT (-73.837101 40.691487)
282041194,02/10/2024,21:25:00,BRONX,OUTSIDE,44,0,STREET,(null),N,18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,1007536,244566,40.837924,-73.915846,POINT (-73.915846 40.837924)
284213335,03/23/2024,00:28:00,BRONX,OUTSIDE,43,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1020324,240687,40.827234,-73.869649,POINT (-73.869649 40.827234)
285137848,04/10/2024,12:04:00,BRONX,OUTSIDE,40,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,WHITE HISPANIC,1006693,238644,40.82167,-73.918909,POINT (-73.918909 40.82167)
288867607,06/20/2024,19:43:00,BRONX,OUTSIDE,46,0,STREET,(null),N,25-44,M,WHITE HISPANIC,<18,M,BLACK,1009100,247458,40.845855,-73.910181,POINT (-73.910181 40.845855)
288867607,06/20/2024,19:43:00,BRONX,OUTSIDE,46,0,STREET,(null),N,25-44,M,WHITE HISPANIC,18-24,M,BLACK,1009100,247458,40.845855,-73.910181,POINT (-73.910181 40.845855)
281248217,01/27/2024,08:00:00,QUEENS,OUTSIDE,114,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1005115,219245,40.76843,-73.924674,POINT (-73.924674 40.76843)
286523177,05/07/2024,14:26:00,MANHATTAN,OUTSIDE,1,0,STREET,(null),Y,<18,M,BLACK HISPANIC,<18,M,BLACK,982817,203638,40.725616,-74.005167,POINT (-74.005167 40.725616)
287507794,05/24/2024,00:14:00,BRONX,OUTSIDE,52,0,STREET,(null),N,18-24,M,WHITE HISPANIC,25-44,F,BLACK,1010619,252255,40.859017,-73.904672,POINT (-73.904672 40.859017)
286038325,04/28/2024,04:30:00,MANHATTAN,OUTSIDE,18,0,STREET,(null),N,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,985147,218635,40.76677888777605,-73.99676176889756,POINT (-73.99676176889756 40.76677888777605)
285449093,04/16/2024,18:10:00,BRONX,OUTSIDE,44,0,STREET,(null),Y,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1007885,246405,40.84297,-73.914577,POINT (-73.914577 40.84297)
284877788,04/05/2024,17:20:00,QUEENS,OUTSIDE,105,0,COMMERCIAL,(null),N,18-24,M,BLACK,25-44,M,BLACK,1056374,179621,40.659403,-73.740045,POINT (-73.740045 40.659403)
283404608,03/07/2024,16:14:00,BRONX,OUTSIDE,40,0,STREET,(null),Y,<18,M,BLACK,<18,M,BLACK,1005028,234516,,,
287476966,05/24/2024,23:50:00,BROOKLYN,OUTSIDE,90,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,1000956,195764,40.70399,-73.939746,POINT (-73.939746 40.70399)
287845253,06/02/2024,02:30:00,MANHATTAN,INSIDE,19,1,TRANSIT,(null),N,25-44,M,BLACK,25-44,M,BLACK,996551,223272,40.779497725226406,-73.95558406794517,POINT (-73.95558406794517 40.779497725226406)
287123516,05/18/2024,22:28:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),Y,(null),(null),(null),25-44,M,BLACK,1009515,183436,40.670131,-73.908924,POINT (-73.908924 40.670131)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK,65+,M,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244)
288669970,06/17/2024,21:05:00,BRONX,OUTSIDE,42,0,STREET,(null),Y,(null),(null),(null),<18,M,WHITE HISPANIC,1009200,239357,40.823621,-73.909851,POINT (-73.909851 40.823621)
286460098,05/06/2024,20:30:00,MANHATTAN,OUTSIDE,30,0,STREET,(null),N,(null),(null),(null),45-64,F,BLACK HISPANIC,998221,239909,40.82516,-73.949519,POINT (-73.949519 40.82516)
284090547,03/20/2024,16:24:00,BRONX,OUTSIDE,41,0,STREET,(null),N,(null),(null),(null),45-64,M,WHITE HISPANIC,1015722,233146,40.80655169478921,-73.88631601356572,POINT (-73.88631601356572 40.80655169478921)
288491502,06/13/2024,21:56:00,BROOKLYN,OUTSIDE,75,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,1013030,182525,40.667621,-73.896254,POINT (-73.896254 40.667621)
283128966,03/02/2024,03:25:00,QUEENS,INSIDE,114,0,(null),BAR/NIGHT CLUB,N,(null),(null),(null),25-44,M,BLACK,1006506,214760,40.756115,-73.919666,POINT (-73.919666 40.756115)
282423225,02/18/2024,03:56:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,25-44,M,BLACK,45-64,M,BLACK,999508,235734,40.813698,-73.944875,POINT (-73.944875 40.813698)
280879491,01/21/2024,06:08:00,BRONX,INSIDE,47,0,STREET,(null),Y,(null),(null),(null),45-64,M,BLACK,1023421,264176,40.891691,-73.858323,POINT (-73.858323 40.891691)
289061107,06/25/2024,03:05:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,994549,184536,40.673181,-73.962871,POINT (-73.962871 40.673181)
285094095,04/10/2024,03:20:00,MANHATTAN,INSIDE,23,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,45-64,M,WHITE HISPANIC,25-44,F,BLACK,1000654,228899,40.794936,-73.940753,POINT (-73.940753 40.794936)
285676187,04/20/2024,13:51:00,BROOKLYN,OUTSIDE,79,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,WHITE HISPANIC,25-44,M,BLACK,998094,188080,40.682903,-73.950082,POINT (-73.950082 40.682903)
288867606,06/20/2024,18:20:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,<18,M,BLACK,45-64,M,BLACK,999433,236538,,,
285261867,04/13/2024,03:23:00,BROOKLYN,OUTSIDE,81,0,STREET,(null),N,25-44,M,BLACK,65+,M,BLACK,1001301,191707,40.692852,-73.938509,POINT (-73.938509 40.692852)
